Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018,change
Bushwick    Av-Aberdeen St,L,Brooklyn,394,1509.0,1683.0,1874.0,2105.0,2112,2079,-33
Canarsie-Rockaway    Pkwy,L,Brooklyn,130,13254.0,13512.0,13481.0,13131.0,12661,11947,-714
Carroll St,GF,Brooklyn,132,12339.0,11744.0,11923.0,11848.0,11723,11562,-161
Central Av *,M,Brooklyn,386,1744.0,3282.0,3715.0,3884.0,1929,2393,464
Chauncey St,ZJ,Brooklyn,347,2967.0,3050.0,3200.0,3360.0,3408,3387,-21
Church Av,52,Brooklyn,169,9794.0,9852.0,9864.0,9808.0,9512,9193,-319
Church Av,QB,Brooklyn,82,17638.0,17473.0,17811.0,17482.0,17186,16528,-658
Church Av  *,GF,Brooklyn,165,9984.0,9954.0,10490.0,10151.0,9697,9492,-205
Clark St,32,Brooklyn,279,5971.0,6083.0,5922.0,5903.0,5635,5275,-360
Classon Av,G,Brooklyn,277,4490.0,4601.0,4966.0,4996.0,5106,5301,195
Cleveland St,J,Brooklyn,369,3328.0,3467.0,3514.0,3483.0,3270,2975,-295
Clinton-Washington    Avs,C,Brooklyn,215,6642.0,6719.0,6603.0,6932.0,7130,7068,-62
Clinton-Washington    Avs,G,Brooklyn,286,5294.0,5178.0,5364.0,5312.0,5083,5025,-58
Coney    Island-Stillwell Av,QNFD,Brooklyn,115,13177.0,13734.0,14073.0,14098.0,13542,13203,-339
Cortelyou Rd *,Q,Brooklyn,244,5318.0,5727.0,6220.0,6332.0,6348,6276,-72
Court St /Borough Hall,5432R,Brooklyn,28,38428.0,38944.0,38559.0,38089.0,36762,35599,-1163
Crescent St,ZJ,Brooklyn,308,4683.0,4925.0,5073.0,5053.0,4842,4539,-303
Crown    Heights-Utica Av,43,Brooklyn,48,27780.0,28287.0,28146.0,29069.0,28980,25336,-3644
Cypress Hills,J,Brooklyn,411,1431.0,1444.0,1456.0,1501.0,1501,1457,-44
DeKalb Av,RQB,Brooklyn,59,17318.0,17350.0,17889.0,18774.0,21230,22069,839
DeKalb Av,L,Brooklyn,120,11617.0,11943.0,12158.0,12307.0,13050,12638,-412
Ditmas Av  *,F,Brooklyn,328,4676.0,4622.0,3386.0,3524.0,3849,3904,55
East 105 St,L,Brooklyn,329,3818.0,3911.0,4002.0,4070.0,3999,3798,-201
Eastern    Pkwy-Brooklyn Museum,32,Brooklyn,303,4938.0,4889.0,4915.0,4719.0,4592,4637,45
Euclid Av,CA,Brooklyn,158,10418.0,10652.0,11014.0,10870.0,10751,10191,-560
Flatbush    Av-Brooklyn College,52,Brooklyn,68,21941.0,21865.0,21666.0,21268.0,20691,19763,-928
Flushing Av,G,Brooklyn,370,2373.0,2627.0,2819.0,2857.0,2866,2949,83
Flushing Av,MJ,Brooklyn,183,9165.0,9258.0,9483.0,9347.0,8952,8336,-616
Fort Hamilton    Pkwy,D,Brooklyn,326,3984.0,4248.0,4260.0,4420.0,4162,3936,-226
Fort Hamilton    Pkwy *,GF,Brooklyn,260,5531.0,5650.0,5783.0,6044.0,5893,5807,-86
Fort Hamilton Pkwy *,N,Brooklyn,353,7034.0,7244.0,6964.0,1771.0,3196,3232,36
Franklin Av    /Botanic Garden,S5432,Brooklyn,102,15775.0,15787.0,15866.0,15834.0,15269,14581,-688
Franklin Av,SC,Brooklyn,240,6227.0,6492.0,6468.0,6289.0,6333,6358,25
Fulton St,G,Brooklyn,271,4266.0,4502.0,4954.0,5096.0,5364,5462,98
Gates Av,ZJ,Brooklyn,207,5999.0,6277.0,6521.0,6602.0,7110,7255,145
Graham Av,L,Brooklyn,160,10136.0,10643.0,10504.0,10483.0,10536,9959,-577
Grand Army    Plaza,32,Brooklyn,211,8066.0,7971.0,7731.0,7735.0,7452,7188,-264
Grand St,L,Brooklyn,220,7444.0,7824.0,7307.0,6977.0,7317,6964,-353
Grant Av,A,Brooklyn,257,6270.0,6475.0,6696.0,7044.0,6318,5896,-422
Greenpoint Av *,G,Brooklyn,164,8461.0,7819.0,9191.0,9413.0,9648,9509,-139
Halsey St,J,Brooklyn,233,5805.0,6174.0,6410.0,6490.0,6616,6579,-37
Halsey St,L,Brooklyn,182,7308.0,7720.0,7932.0,8426.0,8781,8386,-395
Hewes St,MJ,Brooklyn,374,2859.0,2859.0,2992.0,2866.0,2861,2782,-79
High St,CA,Brooklyn,155,7543.0,8174.0,8479.0,8701.0,9215,10281,1066
Hoyt St,32,Brooklyn,221,6657.0,7138.0,7342.0,7615.0,7637,6938,-699
Hoyt-Schermerhorn    Sts,GCA,Brooklyn,148,9604.0,9672.0,9818.0,9894.0,10319,10540,221
Jay    St-MetroTech,RFCA,Brooklyn,21,40183.0,41405.0,43456.0,44267.0,43833,42274,-1559
Jefferson St,L,Brooklyn,196,6612.0,7230.0,7565.0,7639.0,7807,7674,-133
Junius St *,3,Brooklyn,393,2206.0,2361.0,3043.0,2230.0,970,2080,1110
Kings Hwy,QB,Brooklyn,72,18799.0,19010.0,19500.0,20094.0,19975,19569,-406
Kings Hwy,F,Brooklyn,307,3655.0,3616.0,3726.0,4637.0,5186,4567,-619
Kings Hwy  *,N,Brooklyn,351,5154.0,5344.0,5482.0,1489.0,2891,3328,437
Kingston Av,3,Brooklyn,304,4949.0,5017.0,4999.0,4977.0,4703,4623,-80
Kingston-Throop    Avs,C,Brooklyn,232,5678.0,5968.0,6210.0,6350.0,6564,6585,21
Knickerbocker    Av *,M,Brooklyn,384,3429.0,3806.0,4104.0,4228.0,2077,2446,369
Kosciuszko St,J,Brooklyn,246,4751.0,4761.0,4927.0,5118.0,6143,6144,1
Lafayette Av,C,Brooklyn,289,4825.0,4857.0,4849.0,4888.0,4843,4889,46
Liberty Av,C,Brooklyn,375,2658.0,2639.0,2780.0,3020.0,2933,2754,-179
Livonia Av,L,Brooklyn,357,2959.0,3078.0,3269.0,3418.0,3264,3209,-55
Lorimer St,MJ,Brooklyn,293,4796.0,4836.0,5070.0,5138.0,5161,4837,-324
Lorimer St /Metropolitan Av,GL,Brooklyn,108,14004.0,14573.0,15131.0,15082.0,14752,14299,-453
Marcy Av,ZMJ,Brooklyn,113,11775.0,12547.0,13276.0,13815.0,13377,13315,-62
Montrose Av,L,Brooklyn,225,6731.0,6961.0,7025.0,7007.0,7021,6884,-137
Morgan Av,L,Brooklyn,202,7126.0,7298.0,7221.0,7592.0,7769,7510,-259
Myrtle Av,ZMJ,Brooklyn,127,10876.0,11048.0,11424.0,11801.0,13222,12122,-1100
Myrtle-Willoughby    Avs,G,Brooklyn,263,4916.0,5330.0,5783.0,5889.0,5743,5736,-7
Myrtle-Wyckoff    Avs,ML,Brooklyn,63,18167.0,19203.0,19490.0,19673.0,22434,21241,-1193
Nassau Av,G,Brooklyn,168,8435.0,8765.0,9066.0,9150.0,9105,9312,207
Neck Rd,Q,Brooklyn,315,3941.0,4033.0,4207.0,4354.0,4441,4405,-36
Neptune Av *,F,Brooklyn,410,1749.0,1698.0,1807.0,1742.0,1658,1516,-142
Nevins St,5432,Brooklyn,151,11468.0,11752.0,10896.0,10716.0,10699,10426,-273
New Lots Av,3,Brooklyn,268,6349.0,6626.0,7133.0,6855.0,6087,5573,-514
New Lots Av,L,Brooklyn,290,4785.0,5005.0,5244.0,5431.0,5290,4869,-421
New Utrecht    Av /62 St *,DN,Brooklyn,302,5159.0,5270.0,5551.0,5602.0,5217,4673,-544
Newkirk Av,52,Brooklyn,204,7757.0,8015.0,8035.0,7840.0,7600,7312,-288
Newkirk Plaza,QB,Brooklyn,149,10788.0,10707.0,10864.0,10842.0,10728,10534,-194
Norwood Av,ZJ,Brooklyn,360,3492.0,3603.0,3639.0,3613.0,3437,3190,-247
Nostrand Av,3,Brooklyn,327,4151.0,4268.0,4306.0,4239.0,4066,3907,-159
Nostrand Av,CA,Brooklyn,79,16843.0,17062.0,17790.0,18231.0,18035,17437,-598
Ocean Pkwy *,Q,Brooklyn,358,3141.0,3124.0,3203.0,3211.0,3251,3199,-52
Park Pl,S,Brooklyn,406,2077.0,1968.0,1922.0,1850.0,1818,1725,-93
Parksde Av *,Q,Brooklyn,251,4240.0,4969.0,5266.0,5524.0,5898,6050,152
Pennylvania    Av *,3,Brooklyn,316,5675.0,5718.0,6997.0,2485.0,3503,4331,828
President St,52,Brooklyn,323,3969.0,4092.0,4120.0,4114.0,4113,4019,-94
Prospect Av *,R,Brooklyn,269,5934.0,5943.0,5896.0,5842.0,3199,5523,2324
Prospect Park,SQB,Brooklyn,159,9761.0,9715.0,10033.0,9995.0,10234,10059,-175
Ralph Av,C,Brooklyn,261,5381.0,5570.0,5796.0,5801.0,5936,5768,-168
Rockaway Av *,3,Brooklyn,297,5632.0,5735.0,1690.0,5122.0,5642,4747,-895
Rockaway Av,C,Brooklyn,265,5137.0,5223.0,5443.0,5678.0,5715,5667,-48
Saratoga Av  *,3,Brooklyn,280,5807.0,5933.0,8148.0,4006.0,5777,5246,-531
Sheepshead    Bay,QB,Brooklyn,109,14010.0,14118.0,14304.0,14477.0,14311,13946,-365
Shepherd Av,C,Brooklyn,361,3149.0,3263.0,3370.0,3393.0,3337,3182,-155
Smith-9 Sts  *,GF,Brooklyn,300,2854.0,4762.0,5084.0,4861.0,4714,4689,-25
Sterling St,52,Brooklyn,264,5915.0,5783.0,5802.0,5806.0,5795,5684,-111
Sutter Av,L,Brooklyn,322,4555.0,4675.0,4727.0,4688.0,4471,4029,-442
Sutter    Av-Rutland Rd *,3,Brooklyn,231,7831.0,8084.0,8031.0,6785.0,3449,6657,3208
Union St,R,Brooklyn,227,6528.0,6415.0,6599.0,6512.0,6395,6835,440
Utica Av,CA,Brooklyn,85,14673.0,15117.0,15674.0,16060.0,16408,16121,-287
Van Siclen Av *,3,Brooklyn,371,3431.0,3438.0,989.0,4194.0,3660,2904,-756
Van Siclen Av,C,Brooklyn,368,2974.0,3050.0,3202.0,3224.0,3259,3021,-238
Van Siclen Av,ZJ,Brooklyn,376,2883.0,2940.0,3004.0,3067.0,2900,2678,-222
West 8 St-New    York Aquarium  *,QF,Brooklyn,383,2069.0,2262.0,2397.0,2421.0,2404,2469,65
Wilson Av *,L,Brooklyn,311,3865.0,4248.0,4437.0,3812.0,4564,4468,-96
Winthrop St,52,Brooklyn,205,7639.0,7720.0,7541.0,7272.0,7317,7262,-55
York St,F,Brooklyn,140,8629.0,8973.0,9328.0,10246.0,10373,11032,659
1 Av,L,Manhattan,65,23467.0,24286.0,23789.0,23195.0,21823,20998,-825
103 St,1,Manhattan,122,13500.0,13318.0,13309.0,13246.0,12818,12569,-249
103 St *,6,Manhattan,114,16189.0,16641.0,13057.0,13994.0,14337,13285,-1052
103 St,CB,Manhattan,272,4760.0,4832.0,4800.0,4776.0,4674,5444,770
110 St,6,Manhattan,142,12162.0,12452.0,13409.0,13341.0,11932,10851,-1081
116 St,32,Manhattan,147,11508.0,11787.0,12196.0,12090.0,11553,10707,-846
116 St,6,Manhattan,100,16675.0,16674.0,16702.0,16707.0,15899,14715,-1184
116 St,CB,Manhattan,198,6594.0,7005.0,7215.0,7417.0,7232,7613,381
116 St-Columbia University,1,Manhattan,97,16363.0,16460.0,16132.0,15861.0,15263,15079,-184
125 St,1,Manhattan,195,7995.0,8077.0,7991.0,7794.0,7584,7679,95
125 St,32,Manhattan,99,15351.0,15744.0,15986.0,15719.0,15692,14746,-946
125 St,654,Manhattan,37,29425.0,30168.0,30277.0,30024.0,29065,27605,-1460
125 St,DCBA,Manhattan,35,27395.0,28428.0,29062.0,29423.0,28680,27677,-1003
135 St,32,Manhattan,106,14690.0,15335.0,15598.0,15446.0,15023,14343,-680
135 St,CB,Manhattan,270,5592.0,5620.0,5575.0,5785.0,5770,5490,-280
137 St-City College,1,Manhattan,112,14947.0,14768.0,14798.0,14460.0,14049,13371,-678
14 St   /8 Av,LECA,Manhattan,18,42718.0,43953.0,45253.0,44680.0,43434,44031,597
14 St     /6 Av,L321MF,Manhattan,16,49316.0,49990.0,50335.0,50692.0,48565,48508,-57
14 St-Union Sq,654WRQNL,Manhattan,4,108158.0,109472.0,108440.0,106718.0,107141,103572,-3569
145 St,1,Manhattan,166,9931.0,10099.0,10112.0,10039.0,9863,9433,-430
145 St *,3,Manhattan,390,3426.0,3631.0,3664.0,3590.0,3540,2105,-1435
145 St,DCBA,Manhattan,55,22879.0,23805.0,24307.0,24604.0,23932,23047,-885
155 St,DB,Manhattan,338,3948.0,4022.0,4038.0,4052.0,3804,3595,-209
155 St,C,Manhattan,362,2529.0,2586.0,2596.0,2733.0,2715,3168,453
157 St,1,Manhattan,139,10677.0,10822.0,10918.0,10928.0,10802,11036,234
163    St-Amsterdam Av *,C,Manhattan,407,4080.0,4271.0,4340.0,4513.0,4436,1711,-2725
168 St,1CA,Manhattan,42,25041.0,25659.0,25845.0,25879.0,25589,26138,549
175 St,A,Manhattan,121,13309.0,13460.0,13224.0,13377.0,13217,12580,-637
18 St,1,Manhattan,172,8505.0,8638.0,8800.0,8903.0,8680,8860,180
181 St,1,Manhattan,135,11228.0,11673.0,11850.0,11578.0,11693,11342,-351
181 St,A,Manhattan,146,10404.0,10861.0,11237.0,11294.0,10981,10760,-221
190 St,A,Manhattan,306,4546.0,4549.0,4683.0,4748.0,4719,4574,-145
191 St,1,Manhattan,189,8258.0,8580.0,8619.0,8545.0,8419,8032,-387
2 Av,F,Manhattan,87,17801.0,17183.0,17355.0,17059.0,16675,15995,-680
207 St,1,Manhattan,241,6098.0,6336.0,6514.0,6562.0,6524,6349,-175
215 St,1,Manhattan,404,2078.0,2057.0,2012.0,2001.0,1988,1787,-201
23 St,1,Manhattan,93,15283.0,15542.0,15451.0,15062.0,14763,15470,707
23 St,6,Manhattan,31,31777.0,31212.0,29972.0,29452.0,28479,31597,3118
23 St,EC,Manhattan,50,24782.0,25620.0,25731.0,24569.0,24161,24397,236
23 St  *,MF,Manhattan,76,28749.0,29327.0,30652.0,31078.0,30758,18416,-12342
23 St,WR,Manhattan,40,22760.0,24060.0,25973.0,26693.0,25007,26381,1374
28 St,1,Manhattan,98,15149.0,15568.0,15620.0,15253.0,14740,14797,57
28 St *,6,Manhattan,129,23696.0,23856.0,24470.0,24130.0,23081,12019,-11062
28 St,WR,Manhattan,107,11607.0,12407.0,13271.0,13680.0,13256,14302,1046
