Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018,17-18 change
Flushing Av,MJ,Brooklyn,184,2869903.0,2847691.0,2991074.0,2894033.0,2764583.0,2537390,-227193.0
Fort Hamilton    Pkwy,D,Brooklyn,328,1240644.0,1317172.0,1297755.0,1349733.0,1273516.0,1191580,-81936.0
Fort Hamilton    Pkwy,GF,Brooklyn,261,1688093.0,1729381.0,1792239.0,1845401.0,1786458.0,1765887,-20571.0
Fort Hamilton Pkwy,N,Brooklyn,359,2200487.0,2278120.0,2164028.0,554051.0,988664.0,969878,-18786.0
Franklin Av       /Botanic Garden,S5432,Brooklyn,101,5125782.0,5377967.0,5100038.0,5010984.0,4762184.0,4604219,-157965.0
Franklin Av,SC,Brooklyn,229,2049246.0,2125076.0,2137752.0,2056281.0,2058258.0,2051171,-7087.0
Fulton St,G,Brooklyn,266,1394890.0,1485669.0,1643353.0,1639930.0,1698778.0,1745439,46661.0
Gates Av,ZJ,Brooklyn,210,1895878.0,1984486.0,2100864.0,2117787.0,2262915.0,2234908,-28007.0
Graham Av,L,Brooklyn,161,3179579.0,3402514.0,3293413.0,3324292.0,3299951.0,3093428,-206523.0
Grand Army    Plaza,32,Brooklyn,212,2556750.0,2505721.0,2433907.0,2425948.0,2265097.0,2228173,-36924.0
Grand St,L,Brooklyn,222,2260023.0,2414872.0,2242757.0,2174128.0,2256349.0,2126443,-129906.0
Grant Av,A,Brooklyn,254,1958503.0,2041848.0,2084651.0,2170567.0,1950109.0,1842974,-107135.0
Greenpoint Av,G,Brooklyn,167,2543568.0,2428027.0,2902723.0,2951454.0,2934770.0,2859047,-75723.0
Halsey St,J,Brooklyn,227,1845755.0,1968526.0,2083683.0,2101350.0,2131177.0,2059030,-72147.0
Halsey St,L,Brooklyn,179,2317512.0,2492974.0,2465693.0,2629576.0,2776078.0,2625255,-150823.0
Hewes St,MJ,Brooklyn,369,927212.0,903641.0,981379.0,913179.0,894671.0,893262,-1409.0
High St,CA,Brooklyn,141,2441136.0,2687244.0,2656705.0,2536059.0,2983672.0,3463611,479939.0
Hoyt St,32,Brooklyn,239,2033085.0,2181465.0,2249892.0,2356001.0,2137478.0,1982208,-155270.0
Hoyt-Schermerhorn    Sts,GCA,Brooklyn,144,2971379.0,2961316.0,3038302.0,3082398.0,3264293.0,3370038,105745.0
Jay    St-MetroTech,RFCA,Brooklyn,23,11793956.0,12197352.0,12765132.0,13091255.0,13007176.0,12504027,-503149.0
Jefferson St,L,Brooklyn,187,2136772.0,2425983.0,2514292.0,2563505.0,2566772.0,2515861,-50911.0
Junius St,3,Brooklyn,395,690625.0,727369.0,928235.0,681935.0,298119.0,620548,322429.0
Kings Hwy,QB,Brooklyn,72,5697467.0,5693562.0,5905481.0,6014920.0,6040256.0,5895421,-144835.0
Kings Hwy,F,Brooklyn,313,1134042.0,1137784.0,1202640.0,1398753.0,1531332.0,1356085,-175247.0
Kings Hwy,N,Brooklyn,347,1630749.0,1687226.0,1710115.0,475763.0,910558.0,1032541,121983.0
Kingston Av,3,Brooklyn,303,1545567.0,1564089.0,1573003.0,1560437.0,1474988.0,1443692,-31296.0
Kingston-Throop    Avs,C,Brooklyn,223,1834623.0,1887628.0,1992480.0,2031710.0,2085536.0,2099891,14355.0
Knickerbocker    Av,M,Brooklyn,382,1018286.0,1147331.0,1288025.0,1288438.0,593366.0,772085,178719.0
Kosciuszko St,J,Brooklyn,246,1515244.0,1521002.0,1593719.0,1661644.0,1979192.0,1908610,-70582.0
Lafayette Av,C,Brooklyn,276,1638947.0,1617464.0,1631737.0,1639947.0,1621121.0,1631673,10552.0
Liberty Av,C,Brooklyn,374,810031.0,807678.0,858554.0,920826.0,886011.0,839241,-46770.0
Livonia Av,L,Brooklyn,355,934287.0,987560.0,1001522.0,1045593.0,1019591.0,994378,-25213.0
Lorimer St,MJ,Brooklyn,297,1523986.0,1500980.0,1614154.0,1595826.0,1619602.0,1495068,-124534.0
Lorimer St    /Metropolitan Av,GL,Brooklyn,94,5040719.0,5090344.0,5238736.0,5156893.0,5010601.0,4821359,-189242.0
Marcy Av,ZMJ,Brooklyn,114,3681903.0,3953628.0,4204877.0,4272443.0,4199041.0,4171666,-27375.0
Montrose Av,L,Brooklyn,209,2178772.0,2335128.0,2334271.0,2338095.0,2306046.0,2239760,-66286.0
Morgan Av,L,Brooklyn,190,2373595.0,2513823.0,2453723.0,2614617.0,2594607.0,2465927,-128680.0
Myrtle Av,ZMJ,Brooklyn,127,3562631.0,3523740.0,3687468.0,3764562.0,4213096.0,3789470,-423626.0
Myrtle-Willoughby    Avs,G,Brooklyn,260,1578243.0,1722392.0,1875988.0,1887369.0,1765653.0,1768122,2469.0
Myrtle-Wyckoff    Avs,ML,Brooklyn,57,5982615.0,6381800.0,6464630.0,6531453.0,7302376.0,6893183,-409193.0
Nassau Av,G,Brooklyn,166,2653526.0,2760220.0,2916005.0,2851899.0,2765172.0,2880235,115063.0
Neck Rd,Q,Brooklyn,312,1218313.0,1232947.0,1305776.0,1336596.0,1379473.0,1366989,-12484.0
Neptune Av,F,Brooklyn,410,523554.0,512828.0,531011.0,513566.0,478754.0,433083,-45671.0
Nevins St,5432,Brooklyn,154,3477861.0,3580156.0,3310625.0,3220745.0,3271270.0,3215723,-55547.0
New Lots Av,3,Brooklyn,274,1975478.0,2038532.0,2155220.0,2065205.0,1810576.0,1644379,-166197.0
New Lots Av,L,Brooklyn,295,1499902.0,1583983.0,1595607.0,1645273.0,1638839.0,1499170,-139669.0
New Utrecht    Av /62 St,DN,Brooklyn,292,1654945.0,1716638.0,1857740.0,1784812.0,1651274.0,1503742,-147532.0
Newkirk Av,52,Brooklyn,213,2393978.0,2431300.0,2476287.0,2395551.0,2315386.0,2221270,-94116.0
Newkirk Plaza,QB,Brooklyn,150,3380559.0,3302958.0,3432907.0,3315748.0,3356199.0,3258207,-97992.0
Norwood Av,ZJ,Brooklyn,360,1095573.0,1145643.0,1159274.0,1146658.0,1065073.0,966728,-98345.0
Nostrand Av,3,Brooklyn,322,1327377.0,1358826.0,1386067.0,1358853.0,1295175.0,1250715,-44460.0
Nostrand Av,CA,Brooklyn,77,5510841.0,5439806.0,5762163.0,5861658.0,5823419.0,5609408,-214011.0
Ocean Pkwy,Q,Brooklyn,350,990091.0,969271.0,1022215.0,1016458.0,1022378.0,1018695,-3683.0
Park Pl,S,Brooklyn,407,646934.0,608731.0,602858.0,576122.0,575188.0,537340,-37848.0
Parkside Av,Q,Brooklyn,240,1381093.0,1617878.0,1692567.0,1783716.0,1953704.0,1979647,25943.0
Pennsylvania    Av,3,Brooklyn,318,1752108.0,1746438.0,2111790.0,753493.0,1054654.0,1279685,225031.0
President St,52,Brooklyn,327,1216019.0,1221048.0,1243976.0,1226582.0,1227134.0,1197019,-30115.0
Prospect Av,R,Brooklyn,275,1826064.0,1827271.0,1785990.0,1758711.0,961733.0,1638002,676269.0
Prospect Park,SQB,Brooklyn,149,3190679.0,3312727.0,3327301.0,3272810.0,3421790.0,3289464,-132326.0
Ralph Av,C,Brooklyn,253,1719602.0,1787157.0,1867793.0,1863036.0,1894817.0,1850375,-44442.0
Rockaway Av,3,Brooklyn,306,1753354.0,1763824.0,526505.0,1534978.0,1685468.0,1412271,-273197.0
Rockaway Av,C,Brooklyn,259,1615457.0,1641268.0,1721297.0,1786802.0,1794365.0,1790683,-3682.0
Saratoga Av,3,Brooklyn,285,1777399.0,1791700.0,2442282.0,1208956.0,1702107.0,1535733,-166374.0
Sheepshead    Bay,QB,Brooklyn,113,4205275.0,4201776.0,4296566.0,4322837.0,4297325.0,4183545,-113780.0
Shepherd Av,C,Brooklyn,357,988620.0,1027404.0,1059106.0,1059144.0,1038180.0,990387,-47793.0
Smith-9 Sts,GF,Brooklyn,300,926087.0,1539209.0,1636221.0,1533167.0,1484326.0,1466151,-18175.0
Sterling St,52,Brooklyn,264,1866122.0,1785975.0,1822524.0,1805238.0,1787994.0,1753125,-34869.0
Sutter Av,L,Brooklyn,323,1449524.0,1499122.0,1453567.0,1435112.0,1394283.0,1246958,-147325.0
Sutter    Av-Rutland Rd,3,Brooklyn,241,2419794.0,2467381.0,2420464.0,2035027.0,1049559.0,1968448,918889.0
Union St,R,Brooklyn,226,2058555.0,2065047.0,2073096.0,2024863.0,1935724.0,2090848,155124.0
Utica Av,CA,Brooklyn,81,4726582.0,4878678.0,5060099.0,5152649.0,5271782.0,5195786,-75996.0
Van Siclen Av,3,Brooklyn,372,1060055.0,1048755.0,304082.0,1250237.0,1078048.0,854150,-223898.0
Van Siclen Av,C,Brooklyn,363,941172.0,967947.0,1019100.0,1017779.0,1026358.0,955230,-71128.0
Van Siclen Av,ZJ,Brooklyn,377,913115.0,943663.0,966461.0,983370.0,910042.0,818735,-91307.0
West 8 St-New    York Aquarium,QF,Brooklyn,378,702810.0,741345.0,789416.0,795636.0,789104.0,818685,29581.0
Wilson Av,L,Brooklyn,305,1243700.0,1393045.0,1407098.0,1219239.0,1471094.0,1420065,-51029.0
Winthrop St,52,Brooklyn,221,2275444.0,2263671.0,2241716.0,2146809.0,2148162.0,2140028,-8134.0
York St,F,Brooklyn,151,2666502.0,2760385.0,2900416.0,3286640.0,3172717.0,3256154,83437.0
1 Av,L,Manhattan,60,7735905.0,8111070.0,7702110.0,7660896.0,7071729.0,6743140,-328589.0
103 St,1,Manhattan,115,4427199.0,4199559.0,4258632.0,4290142.0,4114291.0,4072703,-41588.0
103 St,6,Manhattan,116,5038138.0,5198601.0,4031201.0,4336922.0,4402069.0,4065523,-336546.0
103 St,CB,Manhattan,277,1528633.0,1555514.0,1521132.0,1481660.0,1470838.0,1630405,159567.0
110 St,6,Manhattan,143,3841826.0,3955522.0,4209449.0,4196711.0,3734660.0,3394176,-340484.0
116 St,32,Manhattan,142,3715803.0,3845140.0,3948545.0,3874037.0,3729434.0,3446526,-282908.0
116 St,6,Manhattan,99,5347692.0,5370343.0,5324072.0,5336694.0,5066069.0,4683148,-382921.0
116 St,CB,Manhattan,205,2122084.0,2234662.0,2246138.0,2276196.0,2253473.0,2262578,9105.0
116 St-Columbia University,1,Manhattan,103,5044561.0,4917691.0,4846181.0,4797152.0,4586341.0,4528136,-58205.0
125 St,1,Manhattan,191,2649847.0,2578729.0,2555321.0,2524125.0,2438960.0,2457157,18197.0
125 St,32,Manhattan,98,4917465.0,5103216.0,5121518.0,4989981.0,5054479.0,4727671,-326808.0
125 St,654,Manhattan,36,9290210.0,9574765.0,9586567.0,9431163.0,9088393.0,8630430,-457963.0
125 St,DCBA,Manhattan,34,8932680.0,9342667.0,9558837.0,9603878.0,9335382.0,9037343,-298039.0
135 St,32,Manhattan,104,4672352.0,4932623.0,4949583.0,4867017.0,4768474.0,4506259,-262215.0
