line_number,msg,filename,Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
11884,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2014-2,PROCTOR,O'NEIL,NARCOTICS,"WC,TX",D,41858.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,2
11885,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2014-3,PROCTOR,O'BRIEN,NARCOTICS,WC,D,41886.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,3
11886,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2014-4,BLACKBURN,O'BRIEN,NARCOTICS,WC,D,41913.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,4
11887,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2014-5,PROCTOR,BITKOWER,NARCOTICS,"WC,TX",D,41922.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,5
11888,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, NORTHERN",2014-6,BOWDRE,O'BRIEN,NARCOTICS,"WC,TX",D,41946.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,6
11889,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, SOUTHERN",2014-1,GRANADE,BLANCO,NARCOTICS,"WC,TX",R,41899.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,1
11890,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, SOUTHERN",2014-2,GRANADE,BLANCO,NARCOTICS,"WC,TX",R,41899.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,2
11891,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,"ALABAMA, SOUTHERN",2014-3,GRANADE,BLANCO,NARCOTICS,"WC,TX",R,41904.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,3
11892,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,ALASKA,2014-1,GLEASON,BITKOWER,NARCOTICS,WC,D,41781.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,1
11893,"Expected 28 columns, found 30 columns",2014-sheet-0.csv,ARIZONA,2011-33,CAMPBELL,BLANCO,CORRUPTION,WC,D,40864.0,30,0,30,INSTALLED AND USED,21.0,19.0,20.0,401.0,28.0,80004.0,2570.0,2.0,0.0,0.0,0.0,0.0,2.0,,,2011,33
