eventid,iyear,imonth,iday,country,country_txt,region_txt,provstate,city,latitude,longitude,summary,crit1,crit2,crit3,doubtterr,success,suicide,attacktype1_txt,attacktype2_txt,attacktype3_txt,targtype1_txt,targsubtype1_txt,natlty1_txt,gname,motive,nperps,nperpcap,claimed,weaptype1_txt,weaptype2_txt,weapdetail,nkill,nkillter,nwound,propextent_txt,nhostkid
-251312868,2016,12,15,217,United States,North America,Texas,Dallas,32.776664,-96.796988,"12/15/2016: An assailant sent a message via Twitter to Kurt Eichenwald, a Newsweek journalist, in Dallas, Texas, United States. The message contained the text ""You deserve a seizure for your posts"" and a GIF image of a strobe. Eichenwald, who has epilepsy, suffered a seizure and was incapacitated for several days. No group claimed responsibility for the incident; however, authorities arrested John Rayne Rivello in connection with the attack.",1,1,1,0.0,0.0,0.0,Assassination,,,Journalists & Media,Newspaper Journalist/Staff/Facility,United States,Anti-Semitic extremists,"The specific motive is unknown; however, sources noted that John Rayne Rivello was prejudice against members of the Jewish community. Sources also suspected that Kurt Eichenwald may have been targeted for his critical comments of President Trump.",1.0,1.0,0.0,Other,,A strobe light GIF sent via Twitter was used in the attack.,0.0,0.0,1.0,,
-162442836,2017,1,2,217,United States,North America,Illinois,Chicago,41.842602,-87.681229,"01/02/2017: Four assailants tied up and tortured a mentally disabled person at a residence in the west side of Chicago, Illinois, United States. The victim was released after four hours. The attack was streamed on Facebook and the assailants shouted anti-Trump and anti-white profanities. Jordan Hill, Brittany Covington, Tesfaye Cooper, and Tanisha Covington were arrested on hate crime charges in connection with the incident.",1,1,1,0.0,1.0,0.0,Hostage Taking (Kidnapping),,,Private Citizens & Property,Unnamed Civilian/Unspecified,United States,Anti-White extremists,"The specific motive is unknown; however, sources noted that the assailants made anti-white and anti-Trump statements during the attack.",4.0,4.0,1.0,Melee,Melee,,0.0,0.0,1.0,,1.0
-162402890,2017,1,6,217,United States,North America,Florida,Fort Lauderdale,26.071231,-80.145668,"01/06/2017: An assailant opened fire at Fort Lauderdale-Hollywood International Airport in Fort Lauderdale, Florida, United States. At least five people were killed and six other people were injured in the assault. Esteban Santiago admitted that he had discussed his plans for the attack in various jihadi online chat rooms. Moreover, Santiago stated that the Central Intelligence Agency (CIA) was forcing him to view Islamic State of Iraq and the Levant (ISIL) videos.",1,1,1,1.0,1.0,0.0,Armed Assault,,,Airports & Aircraft,Airport,United States,Jihadi-inspired extremists,"An unaffiliated individual, identified as Esteban Santiago, admitted that he had discussed his plans for the attack in various jihadi online chat rooms. Moreover, Santiago stated that the Central Intelligence Agency (CIA) was forcing him to view Islamic State of Iraq and the Levant (ISIL) videos.",1.0,1.0,1.0,Firearms,,A 9-mm pistol was used in the attack.,5.0,0.0,6.0,,
-162392897,2017,1,7,217,United States,North America,,Hudson Bend,30.411172,-97.930155,"01/07/2017: Assailants set fire to the Islamic Center of Lake Travis in Hudson Bend, Texas, United States. There were no reported casualties in the attack. No group claimed responsibility; however, sources suspected that the incident was carried out by anti-Muslim extremists.",1,1,1,1.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Anti-Muslim extremists,,-99.0,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-162392890,2017,1,7,217,United States,North America,Texas,Fort Worth,32.713541,-97.355277,"01/07/2017: Assailants set fire to St. Stephen Presbyterian Church on MacPherson Avenue in Fort Worth, Texas, United States. There were no reported casualties in the attack. No group claimed responsibility; however, officials arrested Jonathan Jimenez in connection with the incident.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Unknown,,-99.0,1.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-162322872,2017,1,14,217,United States,North America,Washington,Bellevue,47.602104,-122.156296,"01/14/2017: An assailant set fire to Bellevue mosque in Bellevue, Washington, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, authorities arrested Isaac Wayne Wilson in connection with the attack.",0,1,1,1.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Anti-Muslim extremists,"The specific motive is unknown; however, sources suspected that the attack may have been Islamophobic.",1.0,1.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-162262857,2017,1,20,217,United States,North America,Missouri,Kansas City,39.176086,-94.574127,"01/20/2017: Assailants threatened a gay civilian with a gun and punched him outside his home in Kansas City, Missouri, United States. The civilian, identified as Gyo, was injured in the assault. The assailants also spray-painted homophobic slurs on the victim's vehicle during the incident.",1,1,1,0.0,1.0,0.0,Armed Assault,,,Private Citizens & Property,Named Civilian,United States,Anti-LGBT extremists,Anti-LGBT extremists claimed responsibility for the incident and spray-painted homophobic slurs on the victim's vehicle.,2.0,0.0,1.0,Firearms,Melee,,0.0,0.0,1.0,Minor (likely < $1 million),
-162182874,2017,1,28,217,United States,North America,Texas,Victoria,28.819306,-97.003321,"01/28/2017: An assailant set fire to the Islamic Center of Victoria in Victoria, Texas, United States. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to an anti-Muslim extremist, identified as Marq Vincent Perez, who targeted the mosque because he thought ""its worshipers were terrorists.""",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Anti-Muslim extremists,"The specific motive is unknown; however, sources noted that Marq Vincent Perez targeted the mosque because he thought ""its worshipers were terrorists.""",1.0,1.0,0.0,Incendiary,,,0.0,0.0,0.0,Unknown,
-162152853,2017,1,31,217,United States,North America,Colorado,Denver,39.758968,-104.876305,"01/31/2017: An assailant shot and killed Scott Von Lanken, a transit security guard, near Union Station in Denver, Colorado, United States. Joshua Cummings, a Muslim extremist, claimed responsibility for the incident and stated that he carried out the attack ""for the pleasure of Allah."" Cummings pledged allegiance to the Islamic State of Iraq and the Levant (ISIL) after his arrest, but he claimed that the attack was not in the name of ISIL.",1,1,1,0.0,1.0,0.0,Armed Assault,,,Police,Police Security Forces/Officers,United States,Jihadi-inspired extremists,"An unaffiliated individual, identified as Joshua Andrew Cummings, claimed responsibility for the incident and stated ""On the night in question, what I did do, I didn't do that for the Islamic State. I did that purely and solely for the pleasure of Allah."" Sources also noted that Cummings had pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",1.0,1.0,1.0,Firearms,,A handgun was used in the attack.,1.0,0.0,0.0,,
-161402887,2017,2,6,217,United States,North America,,Manchester,42.993611,-71.486401,"02/06/2017: Assailants robbed and set fire to the Rodriguez Market and Restaurant in Notre Dame neighborhood, Manchester, New Hampshire, United States. There were no reported casualties in the attack. In a note left at the scene, the assailants spray-painted ""KKK"" (Ku Klux Klan) on the targeted business.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Business,Retail/Grocery/Bakery,United States,Ku Klux Klan,"In a note left at the scene, assailants spray-painted ""KKK"" on the targeted business.",-99.0,0.0,1.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-161362875,2017,2,9,217,United States,North America,Mississippi,Jackson,32.298757,-90.18481,"02/09/2017: Assailants attempted to set fire to the house of Stanley Wesley, the leader of the Respect Our Black Dollars activist group, in Jackson, Mississippi, United States. There were no reported casualties, but the residence was damaged in the attack. In a note and graffiti left at the scene, the assailants identified themselves as members of the Ku Klux Klan.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Private Citizens & Property,Labor Union Related,United States,Ku Klux Klan,"In a note left at the scene, assailants identified themselves as members of the Ku Klux Klan and stated, ""You Took my Flag, Pay Back.""",-99.0,0.0,1.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-161242895,2017,2,22,217,United States,North America,Kansas,Olathe,38.853889,-94.781111,"02/22/2017: An assailant opened fire on two Indian civilians at a bar in Olathe, Kansas, United States. Srinivas Kuchibhotla was killed and Alok Madasani was injured in the attack. In addition, Ian Grillot, a United States citizen, was shot and injured when he tried to intervene. Adam W. Purinton, a white extremist, claimed responsibility for the incident and stated that he had killed ""two Middle Eastern persons."" Moreover, prior to the attack Purinton screamed ""get out of my country"" at the victims.",1,1,1,0.0,1.0,0.0,Armed Assault,,,Private Citizens & Property,Race/Ethnicity Identified,India,White extremists,"An unaffiliated individual, identified as Adam W. Purinton, claimed responsibility for the incident and stated that he had killed ""two Middle Eastern persons."" Moreover, prior to the attack Purinton screamed ""get out of my country"" to the victims.",1.0,1.0,1.0,Firearms,,A handgun was used in the attack.,1.0,0.0,2.0,,
-161222892,2017,2,24,217,United States,North America,Florida,Thonotosassa,28.148307,-82.280547,"02/24/2017: Assailants set fire to the Daarus Salaam Mosque in Thonotosassa, Florida, United States. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the incident to anti-Muslim extremists.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Anti-Muslim extremists,,-99.0,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
